sentence_en,start,end,duration,talks_id
it's that you can't fetch the coffee if you're dead.,325.835,328.51,2.675,2781
(Laughter) ,328.534,329.595,1.061,2781
It's very simple. Just remember that. Repeat it to yourself three times a day.,329.619,333.448,3.829,2781
(Laughter) ,333.472,335.293,1.821,2781
"And in fact, this is exactly the plot ",335.317,338.071,2.754,2781
"of ""2001: [A Space Odyssey]"" ",338.095,340.743,2.648,2781
"HAL has an objective, a mission, ",341.184,343.274,2.09,2781
"which is not aligned with the objectives of the humans,",343.298,347.03,3.732,2781
and that leads to this conflict. ,347.054,348.864,1.81,2781
"Now fortunately, HAL is not superintelligent.",349.452,352.421,2.969,2781
"He's pretty smart, but eventually Dave outwits him",352.445,356.032,3.587,2781
and manages to switch him off. ,356.056,357.905,1.849,2781
But we might not be so lucky. ,361.786,363.405,1.619,2781
So what are we going to do? ,368.151,369.743,1.592,2781
I'm trying to redefine AI ,372.329,374.93,2.601,2781
to get away from this classical notion ,374.954,377.015,2.061,2781
of machines that intelligently pursue objectives.,377.039,381.606,4.567,2781
There are three principles involved. ,382.67,384.468,1.798,2781
"The first one is a principle of altruism, if you like,",384.492,387.781,3.289,2781
that the robot's only objective ,387.805,391.067,3.262,2781
"is to maximize the realization of human objectives,",391.091,395.337,4.246,2781
of human values. ,395.361,396.751,1.39,2781
"And by values here I don't mean touchy-feely, goody-goody values.",396.775,400.105,3.33,2781
I just mean whatever it is that the human would prefer,400.129,403.916,3.787,2781
their life to be like. ,403.94,405.283,1.343,2781
And so this actually violates Asimov's law ,407.322,409.631,2.309,2781
that the robot has to protect its own existence.,409.655,411.984,2.329,2781
It has no interest in preserving its existence whatsoever.,412.008,415.731,3.723,2781
"The second law is a law of humility, if you like.",417.378,421.146,3.768,2781
And this turns out to be really important to make robots safe.,421.932,425.675,3.743,2781
It says that the robot does not know ,425.699,428.841,3.142,2781
"what those human values are, ",428.865,430.893,2.028,2781
"so it has to maximize them, but it doesn't know what they are.",430.917,434.095,3.178,2781
And that avoids this problem of single-minded pursuit,435.212,437.838,2.626,2781
of an objective. ,437.862,439.074,1.212,2781
This uncertainty turns out to be crucial. ,439.098,441.27,2.172,2781
"Now, in order to be useful to us, ",441.684,443.323,1.639,2781
it has to have some idea of what we want. ,443.347,446.078,2.731,2781
"It obtains that information primarily by observation of human choices,",447.181,452.608,5.427,2781
so our own choices reveal information ,452.632,455.433,2.801,2781
about what it is that we prefer our lives to be like.,455.457,458.757,3.3,2781
So those are the three principles. ,460.59,462.273,1.683,2781
Let's see how that applies to this question of:,462.297,464.615,2.318,2781
"""Can you switch the machine off?"" as Turing suggested.",464.639,467.428,2.789,2781
So here's a PR2 robot. ,469.031,471.151,2.12,2781
"This is one that we have in our lab, ",471.175,472.996,1.821,2781
"and it has a big red ""off"" switch right on the back.",473.02,475.923,2.903,2781
The question is: Is it going to let you switch it off?,476.499,479.114,2.615,2781
"If we do it the classical way, ",479.138,480.603,1.465,2781
"we give it the objective of, ""Fetch the coffee, I must fetch the coffee,",480.627,484.109,3.482,2781
"I can't fetch the coffee if I'm dead,"" ",484.133,486.713,2.58,2781
"so obviously the PR2 has been listening to my talk,",486.737,490.078,3.341,2781
"and so it says, therefore, ""I must disable my 'off' switch,",490.102,493.855,3.753,2781
and probably taser all the other people in Starbucks,494.934,497.628,2.694,2781
"who might interfere with me."" ",497.652,499.212,1.56,2781
(Laughter) ,499.236,501.298,2.062,2781
"So this seems to be inevitable, right? ",501.322,503.475,2.153,2781
"This kind of failure mode seems to be inevitable,",503.499,505.897,2.398,2781
"and it follows from having a concrete, definite objective.",505.921,509.464,3.543,2781
So what happens if the machine is uncertain about the objective?,510.77,513.914,3.144,2781
"Well, it reasons in a different way. ",513.938,516.065,2.127,2781
"It says, ""OK, the human might switch me off,",516.089,518.513,2.424,2781
but only if I'm doing something wrong. ,519.102,520.968,1.866,2781
"Well, I don't really know what wrong is, ",521.705,524.18,2.475,2781
"but I know that I don't want to do it."" ",524.204,526.248,2.044,2781
So that's the first and second principles right there.,526.272,529.282,3.01,2781
"""So I should let the human switch me off."" ",529.306,532.665,3.359,2781
And in fact you can calculate the incentive that the robot has,533.679,537.635,3.956,2781
"to allow the human to switch it off, ",537.659,540.152,2.493,2781
and it's directly tied to the degree ,540.176,542.09,1.914,2781
of uncertainty about the underlying objective.,542.114,544.86,2.746,2781
"And then when the machine is switched off, ",545.935,548.884,2.949,2781
that third principle comes into play. ,548.908,550.713,1.805,2781
"It learns something about the objectives it should be pursuing,",550.737,553.799,3.062,2781
because it learns that what it did wasn't right.,553.823,556.356,2.533,2781
"In fact, we can, with suitable use of Greek symbols,",556.38,559.95,3.57,2781
"as mathematicians usually do, ",559.974,562.105,2.131,2781
we can actually prove a theorem ,562.129,564.113,1.984,2781
that says that such a robot is provably beneficial to the human.,564.137,567.69,3.553,2781
You are provably better off with a machine that's designed in this way,567.714,571.517,3.803,2781
than without it. ,571.541,572.787,1.246,2781
"So this is a very simple example, but this is the first step",573.195,576.101,2.906,2781
in what we're trying to do with human-compatible AI.,576.125,580.028,3.903,2781
"Now, this third principle, ",582.615,585.872,3.257,2781
I think is the one that you're probably scratching your head over.,585.896,589.008,3.112,2781
"You're probably thinking, ""Well, you know, I behave badly.",589.032,592.271,3.239,2781
I don't want my robot to behave like me. ,592.295,595.224,2.929,2781
I sneak down in the middle of the night and take stuff from the fridge.,595.248,598.682,3.434,2781
"I do this and that."" ",598.706,599.874,1.168,2781
There's all kinds of things you don't want the robot doing.,599.898,602.695,2.797,2781
"But in fact, it doesn't quite work that way.",602.719,604.79,2.071,2781
Just because you behave badly ,604.814,606.969,2.155,2781
doesn't mean the robot is going to copy your behavior.,606.993,609.616,2.623,2781
"It's going to understand your motivations and maybe help you resist them,",609.64,613.55,3.91,2781
if appropriate. ,613.574,614.894,1.32,2781
But it's still difficult. ,616.164,617.628,1.464,2781
"What we're trying to do, in fact, ",618.26,620.805,2.545,2781
is to allow machines to predict for any person and for any possible life,620.829,626.625,5.796,2781
"that they could live, ",626.649,627.81,1.161,2781
and the lives of everybody else: ,627.834,629.431,1.597,2781
Which would they prefer? ,629.455,631.972,2.517,2781
"And there are many, many difficulties involved in doing this;",634.019,636.973,2.954,2781
I don't expect that this is going to get solved very quickly.,636.997,639.929,2.932,2781
"The real difficulties, in fact, are us. ",639.953,642.596,2.643,2781
"As I have already mentioned, we behave badly.",644.107,647.224,3.117,2781
"In fact, some of us are downright nasty. ",647.248,649.569,2.321,2781
"Now the robot, as I said, doesn't have to copy the behavior.",650.389,653.441,3.052,2781
The robot does not have any objective of its own.,653.465,656.256,2.791,2781
It's purely altruistic. ,656.28,658.017,1.737,2781
"And it's not designed just to satisfy the desires of one person, the user,",659.251,664.472,5.221,2781
but in fact it has to respect the preferences of everybody.,664.496,667.634,3.138,2781
"So it can deal with a certain amount of nastiness,",669.221,671.791,2.57,2781
"and it can even understand that your nastiness, for example,",671.815,675.516,3.701,2781
you may take bribes as a passport official ,675.54,678.211,2.671,2781
because you need to feed your family and send your kids to school.,678.235,682.047,3.812,2781
It can understand that; it doesn't mean it's going to steal.,682.071,684.977,2.906,2781
"In fact, it'll just help you send your kids to school.",685.001,687.68,2.679,2781
We are also computationally limited. ,688.934,691.946,3.012,2781
"Lee Sedol is a brilliant Go player, ",691.97,694.475,2.505,2781
but he still lost. ,694.499,695.824,1.325,2781
"So if we look at his actions, he took an action that lost the game.",695.848,700.087,4.239,2781
That doesn't mean he wanted to lose. ,700.111,702.272,2.161,2781
"So to understand his behavior, ",703.298,705.338,2.04,2781
we actually have to invert through a model of human cognition,705.362,709.006,3.644,2781
that includes our computational limitations -- a very complicated model.,709.03,714.007,4.977,2781
But it's still something that we can work on understanding.,714.031,717.024,2.993,2781
"Probably the most difficult part, from my point of view as an AI researcher,",717.834,722.154,4.32,2781
"is the fact that there are lots of us, ",722.178,724.753,2.575,2781
"and so the machine has to somehow trade off, weigh up the preferences",726.252,729.833,3.581,2781
"of many different people, ",729.857,732.082,2.225,2781
and there are different ways to do that. ,732.106,734.012,1.906,2781
"Economists, sociologists, moral philosophers have understood that,",734.036,737.725,3.689,2781
and we are actively looking for collaboration.,737.749,740.204,2.455,2781
Let's have a look and see what happens when you get that wrong.,740.228,743.479,3.251,2781
"So you can have a conversation, for example,",743.503,745.636,2.133,2781
with your intelligent personal assistant ,745.66,747.604,1.944,2781
that might be available in a few years' time.,747.628,749.913,2.285,2781
Think of a Siri on steroids. ,749.937,752.461,2.524,2781
"So Siri says, ""Your wife called to remind you about dinner tonight.""",753.585,757.907,4.322,2781
"And of course, you've forgotten. ""What? What dinner?",758.574,761.082,2.508,2781
"What are you talking about?"" ",761.106,762.531,1.425,2781
"""Uh, your 20th anniversary at 7pm."" ",762.555,766.301,3.746,2781
"""I can't do that. I'm meeting with the secretary-general at 7:30.",768.873,772.592,3.719,2781
"How could this have happened?"" ",772.616,774.308,1.692,2781
"""Well, I did warn you, but you overrode my recommendation.""",774.332,778.992,4.66,2781
"""Well, what am I going to do? I can't just tell him I'm too busy.""",780.104,783.432,3.328,2781
"""Don't worry. I arranged for his plane to be delayed.""",784.448,787.729,3.281,2781
(Laughter) ,787.753,789.435,1.682,2781
"""Some kind of computer malfunction."" ",790.207,792.308,2.101,2781
(Laughter) ,792.332,793.544,1.212,2781
"""Really? You can do that?"" ",793.568,795.185,1.617,2781
"""He sends his profound apologies ",796.358,798.537,2.179,2781
"and looks forward to meeting you for lunch tomorrow.""",798.561,801.116,2.555,2781
(Laughter) ,801.14,802.439,1.299,2781
So the values here -- there's a slight mistake going on.,802.463,806.866,4.403,2781
This is clearly following my wife's values ,806.89,809.899,3.009,2781
"which is ""Happy wife, happy life."" ",809.923,811.992,2.069,2781
(Laughter) ,812.016,813.599,1.583,2781
It could go the other way. ,813.623,815.067,1.444,2781
"You could come home after a hard day's work,",815.779,817.98,2.201,2781
"and the computer says, ""Long day?"" ",818.004,820.199,2.195,2781
"""Yes, I didn't even have time for lunch."" ",820.223,822.511,2.288,2781
"""You must be very hungry."" ",822.535,823.817,1.282,2781
"""Starving, yeah. Could you make some dinner?""",823.841,826.487,2.646,2781
"""There's something I need to tell you."" ",828.028,830.118,2.09,2781
(Laughter) ,830.142,831.297,1.155,2781
"""There are humans in South Sudan who are in more urgent need than you.""",832.151,837.056,4.905,2781
(Laughter) ,837.08,838.184,1.104,2781
"""So I'm leaving. Make your own dinner."" ",838.208,840.283,2.075,2781
(Laughter) ,840.307,842.307,2,2781
"So we have to solve these problems, ",842.781,844.52,1.739,2781
and I'm looking forward to working on them.,844.544,847.059,2.515,2781
There are reasons for optimism. ,847.083,848.926,1.843,2781
"One reason is, ",848.95,850.109,1.159,2781
there is a massive amount of data. ,850.133,852.001,1.868,2781
Because remember -- I said they're going to read everything,852.025,854.819,2.794,2781
the human race has ever written. ,854.843,856.389,1.546,2781
Most of what we write about is human beings doing things,856.413,859.137,2.724,2781
and other people getting upset about it. ,859.161,861.075,1.914,2781
So there's a massive amount of data to learn from.,861.099,863.497,2.398,2781
There's also a very strong economic incentive,863.521,865.757,2.236,2781
to get this right. ,867.289,868.475,1.186,2781
So imagine your domestic robot's at home. ,868.499,870.5,2.001,2781
"You're late from work again and the robot has to feed the kids,",870.524,873.591,3.067,2781
and the kids are hungry and there's nothing in the fridge.,873.615,876.438,2.823,2781
And the robot sees the cat. ,876.462,879.067,2.605,2781
(Laughter) ,879.091,880.783,1.692,2781
"And the robot hasn't quite learned the human value function properly,",880.807,884.997,4.19,2781
so it doesn't understand ,885.021,886.272,1.251,2781
the sentimental value of the cat outweighs the nutritional value of the cat.,886.296,891.14,4.844,2781
(Laughter) ,891.164,892.259,1.095,2781
So then what happens? ,892.283,894.031,1.748,2781
"Well, it happens like this: ",894.055,897.352,3.297,2781
"""Deranged robot cooks kitty for family dinner.""",897.376,900.34,2.964,2781
That one incident would be the end of the domestic robot industry.,900.364,904.887,4.523,2781
So there's a huge incentive to get this right,904.911,908.283,3.372,2781
long before we reach superintelligent machines.,908.307,911.022,2.715,2781
So to summarize: ,912.086,913.621,1.535,2781
I'm actually trying to change the definition of AI,913.645,916.526,2.881,2781
so that we have provably beneficial machines.,916.55,919.543,2.993,2781
And the principles are: ,919.567,920.789,1.222,2781
"machines that are altruistic, ",920.813,922.211,1.398,2781
"that want to achieve only our objectives, ",922.235,925.039,2.804,2781
"but that are uncertain about what those objectives are,",925.063,928.179,3.116,2781
and will watch all of us ,928.203,930.201,1.998,2781
to learn more about what it is that we really want.,930.225,933.428,3.203,2781
"And hopefully in the process, we will learn to be better people.",934.331,937.89,3.559,2781
Thank you very much. ,937.914,939.105,1.191,2781
(Applause) ,939.129,942.838,3.709,2781
"Chris Anderson: So interesting, Stuart. ",942.862,944.73,1.868,2781
We're going to stand here a bit because I think they're setting up,944.754,947.924,3.17,2781
for our next speaker. ,947.948,949.099,1.151,2781
A couple of questions. ,949.123,950.661,1.538,2781
So the idea of programming in ignorance seems intuitively really powerful.,950.685,956.138,5.453,2781
"As you get to superintelligence, ",956.162,957.756,1.594,2781
what's going to stop a robot ,957.78,960.038,2.258,2781
reading literature and discovering this idea that knowledge,960.062,962.914,2.852,2781
is actually better than ignorance ,962.938,964.51,1.572,2781
and still just shifting its own goals and rewriting that programming?,964.534,968.752,4.218,2781
"Stuart Russell: Yes, so we want it to learn more, as I said,",969.65,976.006,6.356,2781
about our objectives. ,976.03,977.317,1.287,2781
"It'll only become more certain as it becomes more correct,",977.341,982.862,5.521,2781
so the evidence is there ,982.886,984.831,1.945,2781
and it's going to be designed to interpret it correctly.,984.855,987.579,2.724,2781
"It will understand, for example, that books are very biased",987.603,991.559,3.956,2781
in the evidence they contain. ,991.583,993.066,1.483,2781
They only talk about kings and princes ,993.09,995.487,2.397,2781
and elite white male people doing stuff. ,995.511,998.311,2.8,2781
"So it's a complicated problem, ",998.335,1000.431,2.096,2781
but as it learns more about our objectives ,1000.455,1004.327,3.872,2781
it will become more and more useful to us. ,1004.351,1006.414,2.063,2781
"CA: And you couldn't just boil it down to one law,",1006.438,1008.964,2.526,2781
"you know, hardwired in: ",1008.988,1010.638,1.65,2781
"""if any human ever tries to switch me off, ",1010.662,1013.955,3.293,2781
"I comply. I comply."" ",1013.979,1015.914,1.935,2781
SR: Absolutely not. ,1015.938,1017.12,1.182,2781
That would be a terrible idea. ,1017.144,1018.643,1.499,2781
So imagine that you have a self-driving car,1018.667,1021.356,2.689,2781
and you want to send your five-year-old ,1021.38,1023.813,2.433,2781
off to preschool. ,1023.837,1025.011,1.174,2781
Do you want your five-year-old to be able to switch off the car,1025.035,1028.136,3.101,2781
while it's driving along? ,1028.16,1029.373,1.213,2781
Probably not. ,1029.397,1030.556,1.159,2781
So it needs to understand how rational and sensible the person is.,1030.58,1035.283,4.703,2781
"The more rational the person, ",1035.307,1036.983,1.676,2781
the more willing you are to be switched off.,1037.007,1039.11,2.103,2781
"If the person is completely random or even malicious,",1039.134,1041.677,2.543,2781
then you're less willing to be switched off.,1041.701,1044.213,2.512,2781
"CA: All right. Stuart, can I just say, ",1044.237,1046.103,1.866,2781
"I really, really hope you figure this out for us.",1046.127,1048.441,2.314,2781
Thank you so much for that talk. That was amazing.,1048.465,1050.84,2.375,2781
SR: Thank you. ,1050.864,1052.031,1.167,2781
Do you ever think about how important the oceans are in our daily lives?,13.585,17.918,4.333,2782
The oceans cover two-thirds of our planet. ,19.788,22.534,2.746,2782
They provide half the oxygen we breathe. ,23.148,25.549,2.401,2782
They moderate our climate. ,25.994,27.648,1.654,2782
And they provide jobs and medicine and food,28.013,31.79,3.777,2782
including 20 percent of protein to feed the entire world population.,32.139,37.083,4.944,2782
People used to think that the oceans were so vast,38.289,40.805,2.516,2782
that they wouldn't be affected by human activities.,40.83,43.29,2.46,2782
Well today I'm going to tell you about a serious reality,44.163,47.449,3.286,2782
"that is changing our oceans called ocean acidification,",47.474,52.106,4.632,2782
or the evil twin of climate change. ,52.321,54.686,2.365,2782
Did you know that the oceans have absorbed 25 percent of all of the carbon dioxide,55.858,61.28,5.422,2782
that we have emitted to the atmosphere? ,61.305,63.548,2.243,2782
Now this is just another great service provided by the oceans,63.928,67.566,3.638,2782
since carbon dioxide is one of the greenhouse gases,67.591,70.46,2.869,2782
that's causing climate change. ,70.485,72.241,1.756,2782
But as we keep pumping more and more and more,73.268,77.304,4.036,2782
carbon dioxide into the atmosphere ,77.33,79.822,2.492,2782
more is dissolving into the oceans. ,79.988,82.441,2.453,2782
And this is what's changing our ocean chemistry.,82.761,85.681,2.92,2782
"When carbon dioxide dissolves in seawater, ",87.308,89.696,2.388,2782
it undergoes a number of chemical reactions.,89.721,91.959,2.238,2782
"Now lucky for you, ",92.378,93.543,1.165,2782
I don't have time to get into the details of the chemistry for today.,93.568,96.853,3.285,2782
"But I'll tell you as more carbon dioxide enters the ocean,",97.346,100.67,3.324,2782
the seawater pH goes down. ,100.695,103.052,2.357,2782
And this basically means that there is an increase in ocean acidity.,103.688,107.655,3.967,2782
And this whole process is called ocean acidification.,108.306,112.428,4.122,2782
And it's happening alongside climate change.,112.862,115.588,2.726,2782
Scientists have been monitoring ocean acidification for over two decades.,116.314,120.417,4.103,2782
"This figure is an important time series in Hawaii,",120.956,123.629,2.673,2782
"and the top line shows steadily increasing concentrations of carbon dioxide,",123.654,128.549,4.895,2782
"or CO2 gas, in the atmosphere. ",128.574,131.089,2.515,2782
And this is directly as a result of human activities.,131.2,134.446,3.246,2782
The line underneath shows the increasing concentrations of carbon dioxide,135.298,139.329,4.031,2782
that is dissolved in the surface of the ocean,139.354,142.29,2.936,2782
which you can see is increasing at the same rate,142.536,145.495,2.959,2782
as carbon dioxide in the atmosphere since measurements began.,145.52,148.694,3.174,2782
The line on the bottom shows then shows the change in chemistry.,148.885,151.892,3.007,2782
"As more carbon dioxide has entered the ocean,",151.917,154.743,2.826,2782
"the seawater pH has gone down, ",154.768,157.014,2.246,2782
which basically means there has been an increase in ocean acidity.,157.509,161.556,4.047,2782
"Now in Ireland, scientists are also monitoring ocean acidification --",163.143,167.213,4.07,2782
scientists at the Marine Institute and NUI Galway.,167.238,170.031,2.793,2782
"And we, too, are seeing acidification at the same rate",170.182,174.331,4.149,2782
as these main ocean time-series sites around the world.,174.356,177.363,3.007,2782
So it's happening right at our doorstep. ,177.824,180.697,2.873,2782
Now I'd like to give you an example of just how we collect our data,181.528,184.686,3.158,2782
to monitor a changing ocean. ,184.711,186.964,2.253,2782
Firstly we collect a lot of our samples in the middle of winter.,187.147,190.202,3.055,2782
"So as you can imagine, in the North Atlantic",190.227,192.366,2.139,2782
we get hit with some seriously stormy conditions --,192.391,194.996,2.605,2782
"so not for any of you who get a little motion sickness,",195.107,197.74,2.633,2782
but we are collecting some very valuable data.,197.765,200.193,2.428,2782
"So we lower this instrument over the side of the ship,",200.55,203.429,2.879,2782
and there are sensors that are mounted on the bottom,203.454,205.89,2.436,2782
"that can tell us information about the surrounding water,",205.915,208.588,2.673,2782
such as temperature or dissolved oxygen.,208.613,211.033,2.42,2782
And then we can collect our seawater samples in these large bottles.,211.408,215.223,3.815,2782
"So we start at the bottom, which can be over four kilometers deep",215.39,218.642,3.252,2782
"just off our continental shelf, ",218.667,220.524,1.857,2782
and we take samples at regular intervals right up to the surface.,220.77,224.436,3.666,2782
"We take the seawater back on the deck, ",224.833,227.094,2.261,2782
and then we can either analyze them on the ship,227.229,229.608,2.379,2782
or back in the laboratory for the different chemicals parameters.,229.633,232.768,3.135,2782
But why should we care? ,233.125,234.411,1.286,2782
How is ocean acidification going to affect all of us?,234.609,239.053,4.444,2782
"Well, here are the worrying facts. ",240.712,243.624,2.912,2782
There has already been an increase in ocean acidity of 26 percent,244.735,250.537,5.802,2782
"since pre-industrial times, which is directly due to human activities.",250.562,254.569,4.007,2782
"Unless we can start slowing down our carbon dioxide emissions,",255.609,259.696,4.087,2782
we're expecting an increase in ocean acidity of 170 percent,259.989,265.926,5.937,2782
by the end of this century. ,266.346,268.695,2.349,2782
I mean this is within our children's lifetime.,269.671,272.004,2.333,2782
This rate of acidification is 10 times faster,273.463,279.081,5.618,2782
than any acidification in our oceans for over 55 million years.,279.106,285.527,6.421,2782
"So our marine life have never, ever experienced",286.018,290.389,4.371,2782
such a fast rate of change before. ,290.414,293.183,2.769,2782
So we literally could not know how they're going to cope.,293.509,297.408,3.899,2782
"Now there was a natural acidification event millions of years ago,",298.993,303.579,4.586,2782
which was much slower than what we're seeing today.,303.604,306.477,2.873,2782
And this coincided with a mass extinction of many marine species.,306.738,311.579,4.841,2782
So is that what we're headed for? ,312.849,314.436,1.587,2782
"Well, maybe. ",315.228,316.378,1.15,2782
Studies are showing some species are actually doing quite well,316.989,320.481,3.492,2782
but many are showing a negative response. ,320.506,323.496,2.99,2782
"One of the big concerns is as ocean acidity increases,",325.044,329.091,4.047,2782
the concentration of carbonate ions in seawater decrease.,329.385,333.639,4.254,2782
Now these ions are basically the building blocks,334.448,337.359,2.911,2782
"for many marine species to make their shells,",337.384,340.185,2.801,2782
"for example crabs or mussels, oysters. ",340.717,345.272,4.555,2782
Another example are corals. ,345.732,347.692,1.96,2782
They also need these carbonate ions in seawater,347.89,351.071,3.181,2782
to make their coral structure in order to build coral reefs.,351.096,355.001,3.905,2782
As ocean acidity increases ,356.325,358.515,2.19,2782
"and the concentration of carbonate ions decrease,",358.737,361.967,3.23,2782
these species first find it more difficult to make their shells.,362.42,366.88,4.46,2782
"And at even even lower levels, they can actually begin to dissolve.",367.189,370.998,3.809,2782
"This here is a pteropod, it's called a sea butterfly.",372.173,375.236,3.063,2782
"And it's an important food source in the ocean for many species,",375.474,378.648,3.174,2782
from krill to salmon right up to whales. ,378.91,382.433,3.523,2782
The shell of the pteropod was placed into seawater,383.346,386.86,3.514,2782
at a pH that we're expecting by the end of this century.,386.885,390.305,3.42,2782
"After only 45 days at this very realistic pH,",391.162,396.654,5.492,2782
you can see the shell has almost completely dissolved.,396.998,401.14,4.142,2782
So ocean acidification could affect right up through the food chain --,401.513,405.647,4.134,2782
and right onto our dinner plates. ,405.782,407.893,2.111,2782
I mean who here likes shellfish? Or salmon?,408.432,412.074,3.642,2782
Or many other fish species ,412.64,414.268,1.628,2782
whose food source in the ocean could be affected?,414.293,417.136,2.843,2782
These are cold-water corals. ,418.084,419.931,1.847,2782
"And did you know we actually have cold-water corals in Irish waters,",420.07,423.603,3.533,2782
just off our continental shelf? ,423.628,425.475,1.847,2782
"And they support rich biodiversity, including some very important fisheries.",425.981,430.1,4.119,2782
"It's projected that by the end of this century,",430.814,433.901,3.087,2782
70 percent of all known cold-water corals in the entire ocean,434.184,440.148,5.964,2782
will be surrounded by seawater that is dissolving their coral structure.,440.535,445.229,4.694,2782
The last example I have are these healthy tropical corals.,448.808,452.466,3.658,2782
They were placed in seawater at a pH we're expecting by the year 2100.,453.03,457.778,4.748,2782
"After six months, the coral has almost completely dissolved.",459.442,464.956,5.514,2782
Now coral reefs support ,466.128,468.493,2.365,2782
25 percent of all marine life in the entire ocean.,468.564,475.091,6.527,2782
All marine life. ,475.828,476.978,1.15,2782
So you can see: ocean acidification is a global threat.,478.026,482.351,4.325,2782
I have an eight-month-old baby boy. ,482.996,485.118,2.122,2782
"Unless we start now to slow this down, ",485.938,489.795,3.857,2782
I dread to think what our oceans will look like when he's a grown man.,489.961,494.326,4.365,2782
We will see acidification. ,495.658,497.626,1.968,2782
We have already put too much carbon dioxide into the atmosphere.,497.788,502.028,4.24,2782
But we can slow this down. ,502.988,505.67,2.682,2782
We can prevent the worst-case scenario. ,506.054,510.43,4.376,2782
The only way of doing that ,510.708,512.892,2.184,2782
is by reducing our carbon dioxide emissions.,512.971,516.275,3.304,2782
"This is important for both you and I, for industry, for governments.",516.968,521.374,4.406,2782
"We need to work together, slow down global warming",521.558,525.329,3.771,2782
slow down ocean acidification ,525.458,527.839,2.381,2782
and help to maintain a healthy ocean and a healthy planet,528.038,532.771,4.733,2782
for our generation and for generations to come.,532.797,536.088,3.291,2782
Let me show you some images ,24.858,25.858,1,36
of what I consider to be the cities of tomorrow. ,25.858,28.858,3,36
"So, that's Kibera, the largest squatter community in Nairobi. ",28.858,37.858,9,36
This is the squatter community in Sanjay Gandhi National Park ,38.858,43.858,5,36
"in Bombay, India, what's called Mumbai these days. ",43.858,47.858,4,36
"This is Hosinia, the largest and most urbanized favela ",47.858,51.858,4,36
in Rio de Janeiro. ,51.858,53.858,2,36
"And this is Sultanbelyi, ",53.858,55.858,2,36
which is one of the largest squatter communities in Istanbul. ,55.858,59.858,4,36
"They are what I consider to be the cities of tomorrow, ",62.858,64.858,2,36
the new urban world. ,64.858,66.858,2,36
"Now, why do I say that? ",66.858,68.858,2,36
"To tell you about that I have to talk about this fellow here, ",68.858,71.858,3,36
his name is Julius. ,71.858,73.858,2,36
And I met Julius the last week that I was living in Kibera. ,73.858,78.858,5,36
"So, I had been there almost three months, ",78.858,81.858,3,36
and I was touring around the city going to different squatter areas ,81.858,85.858,4,36
"and Julius was tagging along, and he was bug eyed ",85.858,88.858,3,36
"and at certain points we were walking around, ",88.858,91.858,3,36
"he grabbed my hand for support, ",91.858,93.858,2,36
which is something most Kenyans would never consider doing. ,93.858,96.858,3,36
They're very polite and they don't get so forward so quickly. ,96.858,101.858,5,36
"And I found out later that it was Julius' first day in Nairobi, ",101.858,107.858,6,36
and he's one of many. ,107.858,111.858,4,36
"So, close to 200,000 people a day ",111.858,115.858,4,36
migrate from the rural to the urban areas. ,115.858,118.858,3,36
"That's, and I'm going to be fair to the statisticians ",119.858,122.858,3,36
"who talked this morning, not almost 1.5 million people a week, ",122.858,125.858,3,36
"but almost 1.4 million people a week but I'm a journalist, ",125.858,128.858,3,36
"and we exaggerate, so almost 1.5 million people a week, ",128.858,132.858,4,36
close to 70 million people a year. ,132.858,135.858,3,36
"And if you do the math, that's 130 people every minute. ",136.858,140.858,4,36
"So, that'll be -- in the 18 minutes that I'm given to talk here, ",140.858,143.858,3,36
between two and three thousand people will have journeyed to the cities. ,143.858,147.858,4,36
And here are the statistics. ,147.858,150.858,3,36
"Today -- a billion squatters, ",150.858,152.858,2,36
one in six people on the planet. ,152.858,154.858,2,36
"2030 -- two billion squatters, ",154.858,157.858,3,36
one in four people on the planet. ,157.858,159.858,2,36
"And the estimate is that in 2050, there'll be three billion squatters, ",159.858,162.858,3,36
better than one in three people on earth. ,162.858,166.858,4,36
"So, these are the cities of the future, and we have to engage them. ",166.858,175.858,9,36
"And I was thinking this morning of the good life, ",175.858,181.858,6,36
"and before I show you the rest of my presentation, ",181.858,183.858,2,36
"I'm going to violate TED rules here, ",183.858,185.858,2,36
and I'm going to read you something from my book as quickly as I can. ,185.858,191.858,6,36
Because I think it says something about reversing our perception ,191.858,196.858,5,36
of what we think the good life is. ,196.858,200.858,4,36
"So -- ""The hut was made of corrugated metal, set on a concrete pad. ",203.858,208.858,5,36
It was a 10 by 10 cell. ,208.858,211.858,3,36
"Armstrong O'Brian, Jr. shared it with three other men. ",211.858,215.858,4,36
Armstrong and his friends had no water -- ,215.858,218.858,3,36
they bought it from a nearby tap owner -- ,218.858,220.858,2,36
no toilet -- the families in this compound shared a single pit-latrine -- ,220.858,225.858,5,36
and no sewers or sanitation. ,225.858,227.858,2,36
"They did have electricity, ",227.858,229.858,2,36
"but it was illegal service tapped from someone else's wires, ",229.858,232.858,3,36
and could only power one feeble bulb. ,232.858,235.858,3,36
"This was Southland, a small shanty community ",235.858,238.858,3,36
"on the western side of Nairobi, Kenya. ",238.858,240.858,2,36
"But it could've been anywhere in the city, ",240.858,243.858,3,36
because more than half the city of Nairobi lives like this. ,243.858,246.858,3,36
1.5 million people stuffed into mud or metal huts ,246.858,250.858,4,36
"with no services, no toilets, no rights. ",250.858,253.858,3,36
